"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
"4164",4164,22,2,5,19,4,20,2001,1,5,1,34,5,1,9,3,9999,5,44,1
"4165",4165,22,2,5,11,2,18,1804,2,99,1,58,10,1,99,8,1991,5,44,1
"4166",4166,23,2,6,12,3,20,2004,2,99,1,15,2,2,99,99,9999,5,99,1
"4167",4167,23,2,6,12,3,20,2004,2,99,2,17,2,2,99,99,9999,5,99,1
"4168",4168,23,2,6,15,3,6,608,2,99,1,27,4,1,5,2,1999,5,23,1
"4169",4169,23,2,6,12,3,9,901,2,2,1,46,8,1,3,8,1989,5,44,2
"4170",4170,23,2,6,17,3,22,2201,2,99,1,29,4,1,1,4,9999,5,21,1
"4171",4171,23,2,6,17,3,22,2201,2,99,1,35,6,1,4,1,9999,5,42,1
"4172",4172,23,2,6,20,4,4,414,2,99,1,999,12,1,99,99,9999,5,99,9
"4173",4173,23,2,6,15,3,5,513,2,99,1,50,9,1,4,99,2009,5,2,9
"4174",4174,23,2,6,21,4,5,509,2,99,1,999,12,1,99,99,9999,5,99,9
"4175",4175,23,2,6,12,3,5,511,2,99,1,999,12,1,3,4,9999,5,32,9
"4176",4176,23,2,6,9,2,13,1311,2,99,1,36,6,1,5,2,1987,5,33,1
"4177",4177,23,2,6,9,2,13,1311,2,99,1,12,1,2,4,3,9999,5,99,1
"4178",4178,23,2,6,15,3,13,1301,1,3,9,999,12,9,1,99,9999,5,99,9
"4179",4179,23,2,6,9,2,15,1503,1,2,9,999,12,9,3,6,9999,5,99,9
"4180",4180,23,2,6,9,2,15,1503,1,2,1,23,3,1,4,5,9999,5,41,1
"4181",4181,23,2,6,18,4,1,101,1,11,1,34,5,1,12,6,9999,5,47,1
"4182",4182,23,2,6,20,4,1,101,1,21,1,51,9,1,1,2,9999,5,44,1
"4183",4183,23,2,6,23,4,1,115,2,3,1,29,4,1,1,3,1993,5,37,1
"4184",4184,23,2,6,21,4,1,101,2,18,1,32,5,1,1,99,9999,5,99,1
"4185",4185,23,2,6,8,2,13,1319,2,99,9,999,12,9,99,99,9999,5,99,9
"4186",4186,23,2,6,19,4,18,1803,2,99,9,999,12,9,99,99,9999,5,99,9
"4187",4187,23,2,6,20,4,4,414,2,99,9,999,12,9,99,99,9999,5,99,9
"4188",4188,23,2,6,18,4,1,101,1,7,9,999,12,9,99,99,9999,5,99,9
"4189",4189,24,2,7,0,1,1,115,1,4,9,999,12,9,3,14,9999,5,99,9
"4190",4190,24,2,7,0,1,1,108,1,3,1,29,4,1,12,1,1992,5,33,1
"4191",4191,24,2,7,8,2,1,101,1,7,1,999,12,1,4,3,9999,5,99,1
"4192",4192,24,2,7,12,3,1,108,1,10,1,20,3,1,1,2,2000,5,5,2
"4193",4193,24,2,7,20,4,5,502,1,1,9,999,12,9,3,1,9999,5,99,9
"4194",4194,24,2,7,14,3,6,603,2,99,9,999,12,9,99,99,9999,5,99,9
"4195",4195,24,2,7,22,4,10,1010,1,99,9,999,12,9,99,99,9999,5,99,9
"4196",4196,24,2,7,16,3,13,1301,1,99,1,24,3,1,2,10,1982,5,44,1
"4197",4197,24,2,7,15,3,17,1712,2,99,1,50,9,1,3,5,1989,5,44,1
"4198",4198,24,2,7,3,1,1,109,1,99,1,40,7,1,6,3,9999,5,22,1
"4199",4199,24,2,7,18,4,1,101,1,11,9,999,12,9,99,99,9999,5,99,9
"4200",4200,24,2,7,20,4,14,1402,1,99,9,999,12,9,99,99,9999,5,99,9
"4201",4201,24,2,7,13,3,6,601,2,99,9,999,12,9,99,99,9999,5,99,9
"4202",4202,25,2,1,9,2,1,101,1,12,1,32,5,1,1,4,9999,5,20,1
"4203",4203,25,2,1,20,4,1,116,2,99,1,45,8,1,3,8,1989,5,44,1
"4204",4204,25,2,1,13,3,1,115,1,99,9,999,12,9,99,99,9999,5,99,9
"4205",4205,25,2,1,18,4,5,501,2,99,9,999,12,9,99,99,9999,5,99,9
"4206",4206,25,2,1,18,4,9,920,2,99,9,999,12,9,99,99,9999,5,99,9
"4207",4207,25,2,1,16,3,2,207,2,99,1,34,5,1,1,2,9999,5,32,1
"4208",4208,25,2,1,17,3,14,1404,2,99,9,999,12,9,99,99,9999,5,99,9
"4209",4209,26,2,2,8,2,14,1401,2,99,1,22,3,1,4,1,9999,5,42,1
"4210",4210,27,2,3,22,4,9,901,1,2,9,999,12,9,99,99,9999,5,99,9
"4211",4211,27,2,3,23,4,18,1804,2,99,9,999,12,9,5,99,9999,5,99,9
"4212",4212,28,2,4,8,2,1,101,1,13,9,999,12,9,2,10,9999,5,30,9
"4213",4213,28,2,4,8,2,1,101,1,13,1,20,3,1,4,3,2012,5,42,9
"4214",4214,28,2,4,12,3,1,108,1,4,1,25,4,1,1,4,2002,5,20,1
"4215",4215,28,2,4,8,2,19,1909,2,99,9,999,12,9,3,9,9999,5,44,9
"4216",4216,28,2,4,21,4,10,1002,2,99,9,999,12,9,4,99,9999,5,99,9
"4217",4217,1,3,5,7,2,1,101,1,13,1,26,4,1,2,3,2000,5,37,1
"4218",4218,1,3,5,13,3,6,601,2,99,1,999,12,1,1,4,9999,5,37,9
"4219",4219,1,3,5,13,3,6,601,2,99,1,23,3,1,4,2,2012,5,45,1
"4220",4220,1,3,5,7,2,12,1215,2,99,1,999,12,1,99,99,9999,5,99,9
"4221",4221,1,3,5,6,2,14,1409,2,99,1,35,6,1,9,2,2007,5,44,1
"4222",4222,1,3,5,19,4,4,406,2,99,1,999,12,1,99,99,9999,5,99,9
