"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
"182",182,22,1,7,2,18,1801,2,99,9,999,11,9,9,99,99,1
"183",183,22,1,7,16,17,1712,2,99,1,38,6,1,9,4,99,3
"184",184,22,1,7,17,17,1708,2,99,1,18,2,1,9,4,5,3
"185",185,22,1,7,11,3,303,2,99,1,28,4,1,9,9,2,1
"186",186,22,1,7,14,3,308,2,99,1,25,4,1,9,9,2,1
"187",187,23,1,1,0,1,101,1,1,2,28,4,1,9,1,2,1
"188",188,23,1,1,6,1,110,2,99,1,30,5,1,9,7,3,1
"189",189,23,1,1,1,1,108,1,6,1,21,3,1,9,4,14,3
"190",190,23,1,1,22,5,501,2,99,1,18,2,1,2,4,1,2
"191",191,23,1,1,16,13,1301,2,99,1,42,7,1,1,1,2,2
"192",192,23,1,1,18,16,1615,2,99,1,44,7,1,9,4,1,1
"193",193,24,1,2,15,1,101,1,11,1,35,6,1,9,7,1,1
"194",194,24,1,2,12,1,110,2,99,1,41,7,1,9,4,1,1
"195",195,24,1,2,12,20,2001,1,4,1,44,7,1,9,4,1,1
"196",196,24,1,2,19,10,1001,2,99,9,999,11,9,9,7,99,1
"197",197,24,1,2,15,16,1601,2,99,1,18,2,1,9,1,5,1
"198",198,25,1,3,8,1,101,1,5,2,33,5,1,1,2,2,1
"199",199,25,1,3,11,16,1601,2,99,1,28,4,1,9,3,1,3
"200",200,25,1,3,13,17,1701,2,99,1,64,10,1,1,3,6,1
"201",201,26,1,4,8,1,101,1,7,1,34,5,1,2,1,4,1
"202",202,26,1,4,22,1,101,1,19,9,999,11,9,9,1,1,1
"203",203,26,1,4,14,20,2001,2,99,1,18,2,1,1,4,6,1
"204",204,26,1,4,12,10,1001,2,99,1,36,6,1,9,3,6,4
"205",205,26,1,4,0,16,1601,2,99,2,35,6,1,9,1,2,2
"206",206,26,1,4,7,7,712,2,99,1,20,3,1,9,3,6,1
"207",207,26,1,4,9,4,401,2,99,1,52,9,1,9,5,3,3
"208",208,27,1,5,8,1,101,1,1,1,69,10,1,1,1,2,1
"209",209,27,1,5,23,1,101,1,9,1,25,4,1,1,4,4,1
"210",210,27,1,5,16,1,113,2,99,1,50,9,1,9,1,3,1
"211",211,27,1,5,21,1,101,1,10,1,23,3,1,1,5,2,1
"212",212,27,1,5,8,21,2101,1,2,1,42,7,1,9,14,1,1
"213",213,27,1,5,17,21,2106,2,99,1,29,4,1,1,3,14,1
"214",214,27,1,5,7,19,1904,2,99,9,999,11,9,9,3,99,2
