"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"7014",7014,1,4,1,22,4,6,612,2,0,2,51,7,1,4,5,6,5,42,9,2,5
"7015",7015,1,4,1,20,4,11,1108,2,0,1,47,6,1,1,99,6,5,99,8,2,5
"7016",7016,1,4,1,14,3,18,1802,2,0,1,25,5,1,9,7,6,5,99,4,2,3
"7017",7017,1,4,1,23,4,7,706,2,0,1,34,5,1,99,99,6,5,99,5,1,4
"7018",7018,2,4,2,22,4,1,113,1,2,1,20,4,1,1,2,4,5,34,3,2,3
"7019",7019,2,4,2,16,3,1,101,1,11,1,33,5,1,4,1,6,5,24,5,1,4
"7020",7020,2,4,2,21,4,1,101,1,12,1,29,5,1,4,99,6,5,99,4,2,3
"7021",7021,2,4,2,19,4,18,1802,2,0,1,37,5,1,13,7,6,5,99,6,2,4
"7022",7022,2,4,2,20,4,17,1712,2,0,1,38,5,1,4,99,6,5,99,6,2,4
"7023",7023,3,4,3,17,3,1,105,1,18,2,36,5,1,4,99,6,5,99,6,2,4
